Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek
Gurmanski šarkelj s trojnim čokoladnim moussom,"šarkelj, ki ga boste pripravljali znova in znova",HOFER Slovenija,12.4.2017,21308,"božič, velika noč, novo leto, miklavževo",pečenje,,sladice,150 minut,"Šarkelj:sultanine namočimo v rumu. V posodici zmešamo moko in pecilni prašek. Iz beljakov stepemo sneg in vanj umešamo 125 g sladkorja. Maslo, ki smo ga segreli na sobno temperaturo, in rumenjake najprej gladko stepemo, nato primešamo 125 g sladkorja, mleko, moko s pecilnim praškom in nastrgano limonino lupino. Na koncu dodamo še odcejene sultanine in na rahlo umešamo sneg. Maso vlijemo v model za šarkelj in jo pri 180 stopinjah pečemo 45 minut.Mousse iz temne čokolade:70 ml smetane zavremo, dodamo nalomljeno čokolado ter mešamo tako dolgo, da se čokolada stopi. Čokoladno zmes odstavimo in ohladimo. Preostalih 130 ml sladke smetane stepemo. Nato z električnim mešalnikom stepemo še ohlajeno čokoladno zmes. Ko postane rahla in penasta, vanjo umešamo prej stepeno smetano. Mousse postavimo v hladilnik, da se strdi.Mousse iz mlečne čokolade:nad soparo med nenehnim mešanjem stopimo čokolado, maslo, margarino in sladkor. Ko dobimo enotno zmes, jo odstavimo in med nenehnim mešanjem z električnim mešalnikom v zmes umešamo jajca. Mousse bo še posebej fin, če to naredimo v posodi, ki smo jo postavili na ledeno mrzlo vodo ali led. Mousse postavimo v hladilnik, da se strdi.Mousse iz bele čokolade:čokolado nad soparo stopimo in rahlo ohladimo. Še mlačni čokoladi najprej primešamo kislo smetano in rum, nato pa med nenehnim mešanjem postopoma dodajamo želatino, dokler se v celoti ne raztopi. V ločeni posodi stepemo sladko smetano in jo nežno umešamo v čokoladno zmes ter postavimo v hladilnik, da se strdi.Sestavljanje sladice:šarkelj prečno razrežemo na 4 plasti. Spodnjo premažemo z moussom iz temne čokolade, na katerega položimo drugo plast šarklja. Premažemo jo z moussom iz mlečne čokolade in prekrijemo s tretjo plastjo. Tretjo plast premažemo z moussom iz bele čokolade. Nanj položimo vrhnjo plast in šarkelj potrosimo s sladkorjem v prahu.",Za šarkelj: 100 g sultanin HAPPY HARVEST rum 300 g gladke moke KORNGOLD 1 pecilni prašek BELLA 4 jajca OKUS PODEŽELJA 250 g sladkorja DIAMANT 140 g masla MILFINA 125 ml mleka MILFINA nastrgana lupina 1 bio limone sladkor v prahu DIAMANT (za posip) Za mousse iz temne čokolade: 130 g temne čokolade CHOCEUR 200 ml sladke smetane MILFINA Za mousse iz mlečne čokolade: 100 g mlečne čokolade CHOCEUR 75 g masla MILFINA 50 g margarine BELLASAN 3 žlice sladkorja DIAMANT 4 jajca OKUS PODEŽELJA Za mousse iz bele čokolade: 75 g bele čokolade CHOCEUR 1 žlica kisle smetane MILFINA 1 čajna žlička ruma 15 g želatine v prahu BELLA 175 ml sladke smetane MILFINA 

Makovi polžki,Idealno pecivo za na mizo ob dobri debati,HOFER Slovenija,12.4.2017,21309,piknik,pečenje,,sladice,240 minut,"Krhko testo:moko skupaj s ščepcem soli presejemo v posodo in v sredini naredimo jamico, kamor dodamo sladkor in jajce. Z vilicami ju zmešamo v gosto kašo. Dodamo še na koščke narezano maslo in vse skupaj previdno zamesimo, tako da postopoma jemljemo moko z roba. Ko je testo gotovo, ga oblikujemo v kepo in damo za približno pol ure v hladilnik.Makovi polžki:za makov nadev zavremo mleko, ga odstavimo, vmešamo mak in pustimo počivati 15 minut. Nato dodamo ostale sestavine za nadev in vse dobro premešamo.Testo položimo med 2 kosa prozorne živilske folije in ga razvaljamo v 4–5 mm debel pravokotnik. Enakomerno ga premažemo z makovim nadevom in zvijemo v približno 3 cm debelo rulado, ki jo zavijemo v prozorno živilsko folijo in damo v zamrzovalnik za 4–5 ur. Zamrznjeno rulado z ostrim nožem narežemo na 0,5 cm debele rezine. Položimo jih na pekač, obložen s papirjem za peko, in pečemo 18–20 minut v pečici pri 175 stopinjah.",Za cca. 450 g testa: 250 g moke KORNGOLD 75 g kristalnega sladkorja AGRAGOLD 1 jajce OKUS PODEŽELJA (vel. M) 125 g ohlajenega masla MILFINA sol PIRANSKE SOLINE Za ca. 30–40 polžkov: 450 g krhkega testa 80 ml mleka MILFINA 125 g bio mletega maka NATUR AKTIV 25 g masla MILFINA (sobne temperature) 40 g kristalnega sladkorja AGRAGOLD 1 zavojček vaniljevega sladkorja BELLA 1 bio jajce NATUR AKTIV 

Cappuccino-bananine rezine,"sladica iz banan, piškotov, namočenih v cappuccino in kreme z belo čokolado, ki jo pripravite v 15 minutah",urssaa,14.4.2017,21310,,,,sladice,30 minut,"1. Zavremo 2 dl vode in jo zmešamo z instant cappuccinom. Pustimo, da se malo ohladi, nato v pripravljen cappuccino namakamo piškote in jih polagamo v pekač.2. Banane razrežemo na kolobarje injih  razporedimo po piškotih.3. V mleku zakuhamo zdrob. Odstavimo z ognja in dodamo nasekljano belo čokolado ter premešamo, da se raztopi. Ohladimo in dodamo jogurt.4. Nad soparo raztopimo maslo in  čokolado. Dobro premešamo ter dodamo še rum in mleko. Polijemo po zdrobovi kremi in ohladimo.",100 g baby piškotov 5 žličk instant cappuccina 2 dl vode 4 žlice zdroba 15 žlic mleka 50 g bele čokolade 180 g navadnega jogurta 2 banani 50 g masla 50 g jedilne čokolade 1 žlica ruma 1 žlica mleka 

Mandljev narastek,super sladica za vsako priložnost :),andreja taurer,18.4.2017,21311,,pečenje,,sladice,15 minut,"1. Najprej prepražimo mandlje (razen če so mleti) in jih zmeljemo skupaj z mletim sladkorjem, vmešamo v moko in dodamo pecilni prašek, stopljeno margarino, liker in na koncu še sneg stepenih beljakov.2. Vse skupaj narahlo premešamo in vlijemo v dobro namaščen ali z alu - folijo obložen pekač za šarkelj in pečemo 35-40 minut v ogreti pečici pri temperaturi 180 stopinj.3. Za preliv zmešamo beljak, mleti sladkor in limonin sok ter  z njim prelijemo ohlajen mandljev narastek. V to zmes lahko dodate tudi kakšno jedilno barvo in kolač bo še lepši.",100 g mandljev (lahko mletih) 130 g sladkorja v prahu 75 g moke (gladke) 100 g margarine za peko ščepec pecilnega praška 4 beljaki 1/2 kozarčka likerja (vseeno kakšnega ali rum) Za preliv: 1 beljak 150 g sladkorja v prahu 1 žlica limoninega soka (ali limetinega) 

Košarica,za dekoracijo ob veliki noči,lunca85,24.4.2017,21312,"božič, velika noč, novo leto, piknik, rojstni dan otroka",pečenje,pomlad,,60 minut,"1. Najprej vse sestavine zmešamo in zamesimo kot za kruh. Pustimo počivati okoli 30 minut.Testo razvaljamo in izrežemo 15 trakcev, katere položimo enega po enega na obrnjeno rosfraj posodo, ki smo jo pred tem oblekli s folijo in namazali z oljem. Razvaljamo 10 tenkih trakov in jih prepletemo med trakce.2. Testo pustimo še okoli 30 minut vzhajati, nato ga namažemo z razmešanimi jajci in damo peči na 200 stopinj okoli 40 minut, odvisno od velikosti. Medtem naredimo še eno enostavno kito, jo položimo na obrnjeno posodo in spečemo. Čisto na koncu samo še sestavimo in pripravljena je dekoracija za veliko noč. Pa veliko uspeha.",600 g bele moke 1 kvas 10 g sladkorja (za kvasni nastavek) olje (za premaz posode) jajce za premaz alufolija 

Tribarvna penasta čokoladna torta,Za vse ljubitelje čokolade.,mamamia,19.4.2017,21313,"božič, rojstni dan otroka",,"pomlad, poletje, jesen, zima",sladice,180 minut,"Vso sladko smetano stepemo in jo shranimo v hladilniku.1. Krema iz temne čokolade:V hladni vodi namočimo tri liste želatine (ali ustrezno količino želatine v prahu - pol vrečke). Temno čokolado razlomimo in zmehčamo v vodni kopeli ali v mikrovalovni pečici. Tri jajca ločimo na beljake in rumenjake. Iz beljakov stepemo čvrst sneg. Tri žlice sladkorja z žlico vode segrevamo, da nastane sirup. Rumenjake stepamo nad soparo in ko je masa svetla in penasta, v tankem curku dodajamo sladkorni sirup in nenehno stepamo. V maso med mešanjem dodamo zmehčano čokolado. Ko je zmes lepo enakomerna, vmešamo sneg iz treh beljakov - najprej dodamo tretjino snega, razmešamo in v gladko zmes postopoma vmešamo preostanek snega.Želatino razpustimo v malo vode ali ruma in jo vmešamo v jajčno čokoladno zmes. Z metlico razmešamo in na koncu dodamo stepeno sladko smetano (malo manj kot tretjino).2. Podlago za torto damo v tortni model, na obroč namestimo čvrsto (acetatno) folijo ali navadno kuhinjsko. Podlago premažemo z mešanico ruma in vode, lahko tudi z rumom in mlekom, lahko samo z mlekom, s kavo,  kakor nam ustreza. Potem v model zlijemo kremo in damo v hladilnik.Ko se krema začne strjevati, pripravimo kremo iz mlečne čokolade. Postopek je popolnoma enak kot za kremo iz grenke čokolade, tudi število jajc in lističev želatine ter količina sladkorja in sladke smetane so enaki.3. Kremo iz mlečne čokolade zlijemo na čvrsto kremo iz temne čokolade in model vrnemo v hladilnik.4. Na koncu pripravimo kremo iz bele čokolade. Postopek je enak kot za prejšnji kremi, le da pred dodajanjem želatine v kremo vmešamo še jogurt.Po tem receptu je bele kreme nekoliko manj - iz 200 g čokolade, pa dve jajci potrebujemo, dva lista želatine, dve žlici sladkorja in nekoliko manj stepene sladke smetane. Seveda pa lahko količine povečamo in naredimo tudi bele kreme enako količino kot iz temne in mlečne čokolade. Stvar okusa.5. Nazadnje v model dodamo še belo penasto kremo in torto pustimo v hladilniku nekaj ur, še najbolje pa čez noč.6. Torto poljubno okrasimo. Jaz na belo kremo nastrgam grenko ali mlečno čokolado, bi pa kakšna smetana z malo temne čokolade in jagodami lepo ""sedla"".","Za podlago: baby piškoti ali biskvitna osnova, lahko tudi podlaga iz piškotnih ali biskvitnih drobtin in masla, skratka - poljubno Za kreme - za model torte s premerom 26 cm - skupna količina: 8 jajc 8 listov želatine 7 dl sladke smetane 300 g temne čokolade 300 g mlečne čokolade 200 g bele čokolade 9 žlic sladkorja 200 g gostega jogurta (najbolje grškega) "

Zeleni šparglji s popranimi jagodami in majonezo iz rdečega vina,super ideja za spomladanski piknik,HOFER Slovenija,20.4.2017,21314,piknik,,pomlad,,30 minut,"1. Spodnjo tretjino špargljev olupimo, konce pa odrežemo. Olupimo polovico pomaranče in iztisnemo sok. V kozici kuhamo vino, pomarančni sok in pomarančno lupinico tako dolgo, da ostane le še polovica tekočine, nato odstranimo pomarančno lupinico in ohladimo.2. V posodi razžvrkljamo jajce ter mu primešamo gorčico in sol. Med nenehnim mešanjem z metlico najprej počasi prilivamo olje, nato še pripravljeno rdeče vino. Majonezo začinimo s soljo, poprom in muškatnim oreščkom.3. Šparglje 5 minut kuhamo v osoljeni vodi, jih odcedimo in poplaknemo z mrzlo vodo. Jagode narežemo na rezine in jih potresemo s svežim, grobo mletim poprom. Šparglje postrežemo z jagodami, majonezo iz rdečega vina in listi solate.",800 g zelenih špargljev 200 g jagod pol pomaranče 75 ml krepkega rdečega vina 1 bio jajce NATUR AKTIV pol čajne žličke gorčice Estragon znamke LOMEE 200 ml sončničnega olja OSANA nariban muškatni orešček sol poper LE GUSTO 

Špargljeva kremna juha z žličniki iz šunke in čemaža,spomladanska juha,HOFER Slovenija,21.4.2017,21315,,kuhanje,pomlad,juhe,45 minut,"1. Če špargljeve jušne osnove nimamo, jo lahko pripravimo tudi sami. Šparglje olupimo in jim odrežemo konce. Olupke in odrezane konce prelijemo z vodo, začinimo s ščepcem soli in sladkorja ter zavremo. Ko voda zavre, zmanjšamo temperaturo in vse skupaj kuhamo še 10 minut tik pod vreliščem. Tako pripravljeno špargljevo jušno osnovo precedimo, dobro ožamemo tudi olupke in konce špargljev.2. V loncu raztopimo maslo, potresemo z moko in zarumenimo. Lonec odstavimo s štedilnika in med stalnim mešanjem z metlico prilijemo špargljevo jušno osnovo. Zavremo in pustimo, da pri nizki temperaturi rahlo vre še 10 minut. Nato primešamo sladko smetano in začinimo s soljo, sladkorjem in poprom. Za žličnike na drobno sesekljamo šunko in čemaž ter premešamo. Dodamo jajci in drobtine ter mešamo dalje, da nastane kremasta masa. Začinimo jo s soljo, poprom in muškatnim oreškom ter pustimo, da nekaj minut počiva.3. Medtem v loncu zavremo vodo, nato zmanjšamo temperaturo, da voda samo še rahlo vre. Z 2 mokrima žličkama zajamemo maso s šunko in čemažem, oblikujemo žličnike in jih 5 minut kuhamo v vodi tik pod vreliščem. Žličnike vzamemo iz vode, jih stresemo v špargljevo kremno juho skupaj s sesekljanimi kuhanimi špargljevimi stebli in okrasimo z listki krebuljice.",1 l špargljeve jušne osnove 4 kuhani šparglji 50 g čajnega masla MILFINA 2 žlici gladke moke KORNGOLD 100 ml sladke smetane MILFINA 150 g kuhane šunke 2 lista čemaža 2 bio jajci NATUR AKTIV 50 g krušnih drobtin KORNGOLD nariban muškatni orešček 1 sveženj krebuljice sladkor DIAMANT sol poper LE GUSTO 

Goveja rebrca v kavni omaki,"mehka in sočna rebrca, z odlično kavno omako",Kave sveta,24.4.2017,21316,"valentinovo, novo leto",kuhanje,,"glavne jedi, omake",150 minut,"Postopek je kar se da preprost. Za gurmansko večerjo bomo umazali le dve posodi, eno za krompir in eno za glavno jed. Pa začnimo.1. Rebra očistimo in jim odstranimo odvečno maščobo. Dobro jih natremo s soljo in poprom, popečemo z vseh strani ter odstranimo iz posode. V isti posodi nato popražimo še česen in čebulo, zalijemo z vinom in prevremo. Dodamo Tabasco omako, kavo in začimbe, premešamo ter vrnemo rebra. Prilijemo toliko vode, da so rebra prekrita, deciliter ali dva. Zmanjšamo temperaturo ter kuhamo okoli 2 uri in pol, dokler se rebra ne razpustijo.2. Medtem skuhamo krompir in naredimo pire. Ko so rebra skuhana, jih odstranimo in precedimo omako. Dodamo žlico žar omake ter omako prevremo, da se zgosti.3. Postrežemo, pojemo in si obliznemo vseh deset prstov.","600 g govejih reber 1dl rdečega vina ½ dl kave Arabusta Brazilija - Kave sveta sol, poper, rožmarin, sladka paprika v prahu žar omaka tabasco omaka čebula strok česna krompir "

Zmešani mafini,"hitro, enostavno in odličnega okusa",hribovc61,25.4.2017,21317,"martinovo, božič, pust, valentinovo, velika noč, novo leto, piknik, rojstni dan otroka, miklavževo",pečenje,"pomlad, poletje, jesen, zima",sladice,15 minut,"1. Banane zmečkamo z vilicami, dodamo dve celi jajci in zmešamo. V zmes dodamo en lonček grškega jogurta in dve žlici tekočega medu, vanilijev ekstrakt ali postrgano sredico vanilije in vse skupaj zmešamo v tekočo zmes.2. V moko vmešamo pecilni prašek ali vinski kamen in vsipamo v tekočo zmes. Po navadi kar z žlico zmešam maso z moko. Ko je dobro premešano, maso s sladoledno žlico naložimo v pekač za mafine, v katerega damo košarice za mafine (naoljen papir) ali pa jih namažemo z oljem. Po vrhu naložimo borovnice, jagode, oreščke, koščke bele ali črne čokolade...etc. Pečemo pri 175 stopinjah cca. 20 minut ali dokler ni pečeno.","3 banane 2 jajci 1 grški jogurt 2 žlici medu čajna žlička vanilijevega ekstrakta ali strok vanilije 20 dag moke 1 pecilni prašek ali vrečka vinskega kamna oreščki, borovnice, jagode, koščki črne ali bele čokolade, etc "

Polnjene testenine s šparglji,gratinirani v pečici,sonic,26.4.2017,21318,,gratiniranje,pomlad,glavne jedi,30 minut,"1. Šparglje za 2 minuti pokuhamo v pokončnem položaju. Vršički naj gledajo ven iz vode. Po tem jih ohladimo v ledeno-mrzli vodi.2. Testenine prav položimo v vrelo vodo za 2 minuti.3. Vsak špargelj zavijemo v rezino pršuta in rezino slanine, ter z njim napolnimo kanelon.  Tako pripravljene zložimo v posodo primerno za pečico.4. Smetano za kuhanje, jajca, muškatni orešček in mleko zmešamo skupaj in prelijemo preko špargljev.5. V pečici pečemo 10 minut na 180 stopinjah. Potresemo z mozzarello in pečemo še 5 minut.Pred serviranjem pustimo počivati 5 minut.","12 debelejših špargljev 12 velikih  kanelonov iz testenin 12 rezin pršuta 12 rezin slanine 250 ml smetana za kuhanje 100 g naribane mozzarelle (ali pa kak drug sir) 1 ščepec muškatnega oreščka 2 jajci 0,5 dl mleka "

Jagodno-malinina pita,slastna osvežujoča pita,Trixi,28.4.2017,21319,"božič, valentinovo, novo leto, rojstni dan otroka",pečenje,"pomlad, poletje, jesen, zima",sladice,60 minut,"1. Za krhko testo v posodo damo razmehčano maslo, rumenjak, sladkor in malo moke in počasi vse ostale sestavine. Gnetemo z mešalnikom in na koncu z rokami oblikujemo testo. Zavijemo v folijo in naj počiva pol ure v hladilniku.2. Medtem stresemo v kozico zamrznjene maline, sladkor, limonin sok, vanilin sladkor, sladkor in zavremo. Gustin razmešamo z malo vode in dodamo k sadju, premešamo in pustimo vreti 2 minuti.  V mešanico dodamo sveže narezane jagode in pustimo vreti minuto.Testo na pekaču za pite lepo oblikujemo in prepikamo.3. Pečico segrejemo na 180 stopinj. Ko je dovolj segreta, damo testo v pečico in pečemo 20 minut. Vzamemo iz pečice, dodamo nadev in pečemo še 5 minut.4. Medtem stepemo beljake v sneg in mu počasi dodajamo mleti sladkor. Beljakov sneg oblikujemo na vrhu sadja. Pečemo še nekaj minut, da se sneg rahlo obarva.",Krhko testo za okrogli pekač za pito 25 cm: 100 g masla 200 g moke 1 rumenjak 30 g sladkorja 1 vanilin sladkor šcepec soli 2 žlici mrzle vode žlica limonega soka Premaz: 2 žlici jagodne marmelade Nadev: 350 g zamrznjenih malin 300 g narezanih svežih jagod žlica gustina sok 1 limone 1 vanilin sladkor 3 žlice sladkorja Beljakov sneg: 4 beljaki 2 žlici sladkorja v prahu Dekoracija: sveže maline 

Hitri skutini štruklji,ko ni časa za pripravljanje testa,Trixi,29.4.2017,21320,"martinovo, božič, novo leto, rojstni dan otroka",kuhanje,"pomlad, poletje, jesen, zima","glavne jedi, priloge",45 minut,"1. Skuto razdrobimo z vilicami, dodamo smetano, rumenjak in po želji sestavine za sladko ali slano varianto.2. Testo odvijemo iz zvitka. Namažemo z nadevom, na zadnjem robu zgoraj ne do konca.Rolado razrežemo na dva dela in jo zavijemo v plastično folijo za živila. Na konicah jo zavežemo ali dodamo gumice, da se ne razvije. Prepikamo z iglo.3. Kuhamo v osoljeni vodi 20 minut. Razvijemo, razrežemo. Po želji dodamo drobtine.","1 zavitek svežega listnatega testa 300 g nepasirane skute 3 žlice kisle smetane 1 rumenjak šcepec soli in malo  popra za slano varianto žlica sladkorja in pest rozin, ščep cimeta za sladko po želji lahko prelijete štruklje z drobtinicami, prepraženimi na maslu "

Drobnjak za v skrinjo,"drobnjak, premalo znani znanec",Pesjaner1,3.5.2017,21321,,zamrzovanje,pomlad,"hladne predjedi, glavne jedi, tople predjedi, juhe, solate",60 minut,"Včasih nam v vrtu naenkrat zraste preveč drobnjaka ali pa ga kje dobimo in ga ne moremo takoj porabiti. Spomladi, preden nam uide v cvet, ga lahko porežemo in zamrznemo, potem pa je vedno pri roki.Pravi čas za rezanje je takrat, ko cvetni popki še niso višji od zelenih stebelc (cevk). Porežemo malo nad tlemi.Porezan drobnjak dobro oplaknemo, izločimo suhe liste in potrgamo orumenele vršičke.Nož naj bo oster in ne premajhen.Vzamemo primeren šopek in stebelca skupaj s cvetovi na drobno narežemo - približno 3-4 mm na dolgo. V spodnjem delu je nekaj malo trših stebelc, zato sam zrežem tako, da spodnji 2/3 spravim v eno posodo, zgornji del pa v drugo. To drugo potem uporabljam za posip po juhah in enolončnicah, ker so lepe cevke in cveti, spodnji deli pa so uporabni za vse ostalo (drobnjakovo solato, jajčne jedi, pražen krompir, enolončnice itd.).Narezan drobnjak napolnimo v vrečke ali še bolje v plastične posodice in zamrznemo.","drobnjak, kolikor ga imamo "

Makovo - malinina torta s črnim sezamom,"veganska tortica, ki s svojim bogatim okusom premaga vse običajne in navduši tudi vsejedce",vegchef,4.5.2017,21322,valentinovo,,,sladice,120 minut,"1. Za ""črni"" biskvit zmešamo posebej suhe (moko, pecilni, sodo, mak, sezam, sladkor, sol) in posebej mokre sestavine (mandljevo mleko, olje, limonin sok, vanilijev ekstrakt, limonino lupinico). Mokre sestavine nato dodamo suhim in dobro premešamo. Pečemo na 180 stopinjah prbl. 25-35 minut. Priporočam, da se mase ne speče vse naenkrat (če nameravamo 2x prerezati), saj je pečen biskvit zelo rahel in drobljiv.  Bolje je, da se biskvit razdeli na 2-3 dele in speče vsak disk posebej.2. Za kremo segrevamo kokosovo in mandljevo mleko do vretja. Dodamo tapioko in na srednjem ognju kuhamo 3-4 minute. Dodamo zmes za puding, ki smo jo pred tem naredili po navodilu iz vrečke (uporabimo par žlic mandljevega mleka). Ko se puding zgosti, dodamo še kokos in limonino lupinico. Dobro premešamo in zmes čimprej pokrijemo s prozorno živilsko folijo, da se ne naredi skorjica. Prej ko jo nadevamo, mora biti popolnoma ohlajena.3. Medtem ko se krema hladi, naredimo malinin žele. Če ga delamo iz zmrznjenih malin te prej odtajamo, tako da jim dodamo 2-3 žlice sladkorja v prahu (če ne, ga dodamo v procesu kuhanja). V kozici segrejemo maline in jih čim bolj ""zmečkamo"". Nato zmes precedimo skozi cedilo (da se znebimo semen). V manjši skodelici zmešamo agar agar z 3 žlicami malinovega pireja in dobro premešamo, da ni grudic. Dodamo v preostali pire in spet premešamo. Vlijemo v okrogel model (višine vsaj 0,5 - 1 cm), ki je manjši od premera biskvitov. Postavimo v hladilnik, da se strdi.4. Začnemo z zlaganjem torte. Vsak biskvit namočimo s parimi žlicami mandljevega mleka in javorovega sirupa. Dodamo polovico bele pudingove kreme. Nato v sredino položimo malinin žele, okrog njega pa biskvit (izrežemo kolobar, ki ustreza velikosti želeja). Namažemo z drugo polovico kreme in nanjo položimo še zadnji biskvit.Torto položimo v hladilnik za vsaj par ur, še bolje čez noč.5. Limonin glaze naredimo tako, da vse sestavine dobro zmešamo, da dobimo dokaj gosto konsistenco. Če se nam zdi preveč gosta, dodamo žlico limoninega soka več. Polijemo po torti. Dodamo kokosov čips, maline in po želji karameliziran črni sezam.","Biskvit 260 g moke 60 g mletega maka 30 g črnega sezama 200 g belega sladkorja 80 g kokosovega sladkorja 1 pecilni prašek 1 zvrhana čajna žlička sode bikarbone ščep soli 250 ml mandljevega mleka 120 ml olja + 2 žlici kokosovega olja (stopljenega) sok 1 limone 2 čajni žlički vanilijevega ekstrakta naribana lupinica 2 limon za namočit: 200 ml mandljevega mleka + žlica javorovega sirupa Krema: 500 ml kokosovega mleka 250 ml mandljevega mleka 2 vanilijeva pudinga 2-3 žlice tapioke 3 žlice kokosove moke 5 žlic sladkorja lupinica 1 limone Malinin žele: 350 g (zmrznjenih) malin 2-3 žlice sladkorja v prahu -2 čajni žlički agar agar Limonin ""glaze"": 0,5 - 0,7 dl limoninega soka 5-7 žlic sladkorja v prahu 1 žlica  kokosovega mleka Okrasitev: sveže maline kokosov čips karameliziran črni sezam "

Kocke z ocvirki,pecivo z domačimi ocvirki in špehom,MrHappy,5.5.2017,21323,,"pečenje, praženje",,tople predjedi,60 minut,"1. Ocvirke z mastjo segrejemo in na njih popražimo na drobno sesekljano čebulo, dodamo na kocke narezan špeh in peteršilj. Pražimo, da dobimo homogeno zmes.2. Jajca penasto zmešamo, dodamo domačo smetano. V maso počasi vmešamo moko, ki smo ji dodali pecilni prašek. Masi dodamo ohlajeno zmes prej prepraženih ocvirkov, čebule in špeha.Popramo po okusu.3. Zlijemo v globok pekač 30 x 22 cm, obložen s papirjem za peko in pečemo cca. 30 minut v pečici ogreti na 200 stopinj (odvisno od pečice). Pečeno narežemo na manjše kockice.",100 g domačih ocvirkov z mastjo 100 g domačega špeha 2 čebuli 50 g svežega peteršilja 4 jajca 280 g domače smetane - škrlupcev 200 g moke 1 pecilni prašek poper 

Štrukeljska gibanica z orehovimi ocvirki,"združeni dve tipični slovenski jedi: štruklji in prekmurska gibanica, na koncu smo jih posuli še z orehovimi ocvirki",Kave sveta,8.5.2017,21324,,kuhanje,,"sladice, priloge",120 minut,"1. Iz sestavin za testo zamesimo mehko testo in ga oblikujemo v kroglo, ga malo premažemo z oljem in pokrijemo s krpo. Testo pustimo počivati vsaj eno uro. Medtem v posodi zmešamo skuto, jogurt ter ščepec soli. Ko je testo odležalo, ga razdelimo na 4 dele in razvlečemo. Nato ga namažemo s stopljenim maslom, posujemo z drobtinami, namažemo s skutinim nadevom in zavijemo. Štruklje kuhamo tesno zavite v rahlo pomokano bombažno krpo približno 20 minut v vreli vodi. Ko so skuhani, jih narežemo na kolobarje.2. Orehe zdrobimo na manjše koščke, vendar jih ne zmeljemo v prah. Z rokami zgnetemo moko, orehe, maslo in sladkor, da nastane drobljena zmes podobna ocvirkom. Orehove ocvirke razporedimo po pekaču in jih na 180 stopinjah pečemo od 5 – 10 minut oziroma toliko časa, da postanejo zlato rjave barve.3. Čežano skuhamo iz jabolk, vode, cimeta in sladkorja. Makov posip pa pripravimo tako, da mak zmešamo s sladkorjem (razmerje 1:1).",Za testo štruklja: 30 dag namenske moke za vlečeno in kvašeno testo 1 dl mlačne vode 1/2 dl toplega mleka 1 jajce 3 žlice olja 1/2 žličke soli Za nadev štruklja: 50 dag skute 1 lonček čvrstega jogurta Ščepec soli 10 dag masla drobtine Za orehove ocvirke potrebujemo: 3 žlice posebne bele moke ¼ skodelice orehov 2 žlici mrzlega masla 2 žlici rjavega sladkorja Jabolčna čežana in posip: 2 jabolki ščepec cimeta sladkor mak 

Lečina juha z žličniki,"preprosta juha, h kateri se pri nas postrežejo palačinke",SamoMama,15.5.2017,21325,,kuhanje,,juhe,30 minut,"1. Čebulo in rdečo papriko narežemo in na olju prepražimo. Tik pred koncem damo še česen, da zadiši ter vse skupaj zalijemo z vodo in lečo. Začinimo s soljo ter domačo sušeno zelenjavo. Ko je leča kuhana, vse skupaj spasiramo in z majhno žličko vkuhamo žličnike.Žličniki:jajce, moko in malo mlačne vode zmešamo v gladko zmes, ki ne sme biti preveč tekoča.",2 žlici olja 1 čebula 2 stroka česna 1 rdeča paprika 200 g leče sol domača sušena zelenjava (vegeta) Žličniki: 1 jajce moka 

Črni gozdiček v kozarčku,"hitro, preprosto, odlično",ninamina,17.5.2017,21326,"valentinovo, rojstni dan otroka",pečenje,,sladice,30 minut,"1. Beljak in rumenjak ločimo, beljak stepemo v sneg. Rumenjaku dodamo sladkor ter ga stepemo. Dodamo olje in vodo ter na koncu moko, kakav in pecilni prašek. Sestavine zmešamo in jim nežno dodamo še beljak. Zmes vlijemo v manjši pekač in pečemo 20 minut na 180 stopinjah. Nato biskvit ohladimo.2. Sladko smetano stepamo, ji dodamo vanilijev sladkor. Ko je rahlo gosta, ji dodamo mascarpone.3. Kozarček sestavljamo po tem vrstnem redu :- nekaj biskvita, ki ga prelijemo z višnjevim kompotom, dodamo višnje in jih pokrijemo s smetanovo kremo. Postopek ponovimo.  Zadnjo plast smetanove kreme okrasimo s čokoladnimi ostružki","Za biskvit : jajce 55 g sladkorja 1 žlica kakava v prahu pol pecilnega praška 0,2 dl vode 0,2 dl olja Ostale sestavine: 100 ml sladke smetane 2 žlici mascarponeja pol vanilijevega sladkorja višnje iz kompota 6 žlic soka iz kompota "

Narastek iz prosene kaše z dušenimi jabolki,"preprost, zdrav narastek, ki se prileže po enolončnici",SamoMama,18.5.2017,21327,,"kuhanje, pečenje, dušenje",,sladice,90 minut,"1. V litru osoljene vode skuhamo proseno kašo. Posebej na žlici maščobe podušimo jabolka. Dodamo jih proseni kaši in nato v ohlajeno maso vmešamo žlico ruma, jajci, smetano in dva  vanilijeva sladkorja.2. Vse skupaj stresemo v pomaščen pekač in pečemo približno 45 minut na 175 stopinjah.","250 g prosene kaše sol 5 velikih jabolk vanilijev sladkor maščoba (margarina, maslo) 2 jajci rum 1 dl smetane "

